"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","yld6","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"NM1703PAR",3,120,3,5,8.1,5.4,5.5028958682,5.05,7.3,6.3,0.463877488980088,0.479383347541915,0.37050577117128,0.403272511949401,0.389097771461526,0.408572487393768,0.398262234126846,0.477945091668724,0.405253153036504,0.296455843841465,0.430645484471161,0.416644094097322,0.271953890931373,0.407314499757238,0.292287245228422,0.327893159265708,0.291394152969106,0.324251774633904,0.289230664488017,0.402597338346609,0.301492215222772,0.27396197011852,0.27156911887562,0.278655799669265,0.320494756041952,0.344221551868611,0.319627805774869,0.337407680562738,0.402157812060606,0.26397678204856,0.219182373804223,0.220153453
"SW_9720",3,121,3,6,5.45,4.8,4.4679731242,4.3,6.2,5.2,0.512867292,0.458239035686477,0.43059472305376,0.388662585663343,0.44905753968254,0.436558712,0.380376904435067,0.465467126,0.401534379424057,0.308700901437427,0.397305178481649,0.395143868371629,0.197662053056517,0.408261023911304,0.319150699216059,0.290507234232724,0.27601448203915,0.362466517746339,0.250699164127803,0.358339587242026,0.272202434038876,0.281265761689291,0.288936672296884,0.243775452997239,0.270676399,0.354830083980411,0.317044037,0.295749080882353,0.370944014891943,0.282889822595705,0.230976927724333,0.238702672885011
"NUMEX_BILL_MELTON",4,122,3,7,5.7,5.15,4.6783561028,4.15,6.15,6,0.47854570984404,0.452956682071144,0.428316630620213,0.409962948253403,0.428049994507607,0.438685537498074,0.401357538230603,0.462839416710685,0.419393168311444,0.304332963784183,0.408046065141385,0.437756632064591,0.208399203431373,0.421972896500372,0.329123708208675,0.295303241904549,0.300264002621707,0.39300312732688,0.253033185496421,0.356234253349971,0.275965099596276,0.291498260352256,0.277312770801204,0.285929548063235,0.286490310546651,0.418241625235089,0.337108950174469,0.283561229651105,0.379242410401632,0.300314208503533,0.241415516432817,0.265985646027875
"AMERISTAND_803T",4,123,3,8,6.65,5.95,5.2588247328,5.3,6.95,6.3,0.48812889496884,0.452108113776912,0.331011138496039,0.391938706216969,0.428047248311089,0.430419124907686,0.403657655409143,0.467838623528337,0.388701996884927,0.33806123277659,0.407878747606098,0.434555574447461,0.215425413302576,0.409887083584253,0.33341875956255,0.339041394335512,0.305116562754134,0.372983619760751,0.276940553999378,0.391637944777014,0.252151064776603,0.26394067370538,0.306435387138626,0.304562763785608,0.313738980088159,0.390006594,0.315114226,0.319509224643885,0.382378651075321,0.292173042502199,0.241053694,0.247814218611571
"NM1702PAR",4,124,4,8,5.15,4.85,4.5013290248,4.75,6.6,5.8,0.498104408003611,0.445540845494208,0.327132451087461,0.424720743241248,0.447499687330637,0.420463442969033,0.408836547898015,0.449953161131083,0.392124961765738,0.31402254044738,0.412729536258948,0.425447201,0.183540118454927,0.403492876644329,0.332753007394327,0.313530883272634,0.283501934498139,0.365857334326136,0.24967815014452,0.345626851806043,0.241197151240193,0.281124786324786,0.276148343981787,0.267169579274496,0.2732742,0.372345399698341,0.327558250430918,0.278017495,0.392778870494094,0.288209228053081,0.237886696156592,0.251419866901934
"AFX_779",4,125,4,7,5.9,5.2,4.5217422428,4.4,6.55,6.25,0.475205859222691,0.457481418560204,0.430762382277133,0.413563595088362,0.442698649268354,0.419271116,0.43229291558926,0.43854901602552,0.425982221771855,0.328825196005971,0.419401914479832,0.433209819360815,0.169544047840655,0.416346824170185,0.342070539488043,0.2999645,0.274053913,0.364216827997022,0.26520522097728,0.364649413236214,0.254907778021726,0.283091064600322,0.287417982423931,0.299383683821787,0.302672708618331,0.428769267556929,0.308241768818192,0.314902187726943,0.396295077723002,0.327759826740684,0.259651894946013,0.254040419236748
"AFX_149092",3,126,4,6,6.4,5.1,5.5463229742,4.85,7.25,6.2,0.459503393538069,0.473452837495159,0.407909876728267,0.391253891551601,0.41834047344428,0.414492898454774,0.44045301846104,0.446069923356206,0.415920434561873,0.307811375,0.431566814760092,0.438810748060811,0.201164109227707,0.411268700328989,0.294067238,0.302764190712541,0.263007225222595,0.298291802105418,0.269802163893446,0.376853180296509,0.25868744561555,0.252429160382102,0.285308762101332,0.301205108909235,0.324255345602717,0.405219070742744,0.287982712506864,0.332029346301618,0.417658522256075,0.317370741883502,0.250691045649029,0.221079257452897
"NUMEX_BILL_MELTON",3,127,4,5,6.75,4.45,4.3946939002,4.1,6.45,5.45,0.466162679905722,0.483024589204821,0.383567772072326,0.390047511877969,0.403659135222717,0.418923435645947,0.384723394940113,0.452036998228541,0.409617074282918,0.320743119864354,0.396063948693833,0.398569002185138,0.27191940462894,0.425637435366501,0.322507012033554,0.296096089,0.292907045516154,0.350922015388434,0.249259064737006,0.330746593136096,0.335868376467622,0.314521301420762,0.250946708770899,0.244438347478295,0.302122728697183,0.347431154500862,0.336013859359005,0.289104587408293,0.379539742339548,0.28114074425693,0.243629035324537,0.253719013726151
"NUMEX_BILL_MELTON",2,128,4,4,6.6,5.45,4.7243216482,4.65,7.15,5.95,0.477089413770623,0.451362638918383,0.415292248890205,0.404746134692793,0.404140406,0.41927473049105,0.427863104069317,0.455538718639004,0.41633261653607,0.3250484105285,0.420397234319519,0.454368231893575,0.260829768492157,0.416743747274491,0.299743037928117,0.286336313,0.306707327759959,0.372839116406056,0.268796685,0.34611466725527,0.315114417553442,0.294270286576169,0.290616924922279,0.290476713073289,0.295822848,0.444692638781591,0.325891277528414,0.287547487745098,0.37998462234043,0.294543031908028,0.245194113844633,0.244568983957219
"AFX_149092",2,129,4,3,7.3,4.6,5.7148866562,5.2,7.7,6.2,0.461051942129918,0.482124099426642,0.391846185143151,0.405540683732084,0.398149063546987,0.411029183573556,0.449630376889569,0.428466927101525,0.414329919928542,0.310000108690926,0.439783346219332,0.439826221,0.278328602010424,0.426551525345627,0.303067753139489,0.314231688923224,0.215255222323534,0.346356912385207,0.2961426841653,0.404345571515215,0.275618081475101,0.280486300148826,0.24710288609826,0.321681856822331,0.309257234142156,0.333563072508553,0.319049443963217,0.360020043949751,0.430880105572396,0.282096777551539,0.228564075202731,0.205956535
