"Germplasm","Rep","Plot","Row","Range","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"SEEDWAY_9558_SBR",2,2122230,2,26,0.346298182572692,0.322881209597382,0.362507667300497,0.417435974389756,0.416048345834902,0.272647357951571,0.304231381955575,0.332847750865052,0.279779847494553,0.390973728698528,0.312397739104566,0.290361545462067,0.315648709564776,0.344466050883163,0.485669670583165,0.271602459165484,0.415314655636843,0.398229727524882,0.445804921295117,0.412578783489904,0.29671740626075,0.288284375697182,0.262566786144687,0.226252322518733,0.357440404047713,0.214003859735567,0.288406445210659
"ALGONQUIN",2,2122240,2,25,0.348918220486848,0.308283949144228,0.35555022352436,0.403059223689476,0.432077043508185,0.2950049142464,0.320975795132057,0.358057216297304,0.26671815875473,0.373654660101926,0.296410421116304,0.290643733830629,0.295847224197227,0.430360397825903,0.489959163315565,0.270339893533171,0.384540654884809,0.362418780532281,0.424313083136613,0.404888655380955,0.289742002063983,0.302739644530378,0.305536632018116,0.179305276146026,0.335482014251601,0.17047305352921,0.307256185746089
"AMERISTAND_427_TQ",2,2122250,2,24,0.414413155834724,0.364340638216071,0.367880570719772,0.427185690419666,0.434187006205071,0.254667519181586,0.37504308322751,0.277735729685272,0.361444989106754,0.457278203316725,0.346585056804759,0.304531958118456,0.342819804662286,0.363023377547706,0.48780156406454,0.346819940097251,0.439368986292923,0.410075149002332,0.44625037566214,0.401561167327388,0.286129600963192,0.294335993984615,0.292491879444961,0.235639869549904,0.372139333656801,0.192560679984044,0.307733269924885
"REBOUND_6XT",2,2122260,2,23,0.429029675843401,0.352593646897884,0.3909007484488,0.464138372837924,0.424363181747148,0.263107892279719,0.405341210720096,0.295798707900015,0.374031481481481,0.460583029672046,0.364476895195849,0.35958355973248,0.367847934280746,0.307421683456542,0.4870512380893,0.37118854275717,0.425789766431478,0.414884092038375,0.431930937813291,0.380849460007675,0.282379490341671,0.25629210976426,0.289045119575093,0.241295510654598,0.376648138634396,0.203293149358509,0.297937364662562
"SW4602Z",2,2122270,2,22,0.421627088735622,0.336559628922563,0.415224863473015,0.501926115737775,0.397501901170849,0.255196103358709,0.328696389949945,0.275588843628789,0.343927911076711,0.428824393193401,0.364571655606383,0.390456577202668,0.357019165442164,0.329188378838648,0.510937044501058,0.320363902082572,0.379152401119694,0.42690951270376,0.422261681085211,0.361918343488654,0.307665429132998,0.282798311064839,0.261725011054659,0.197944663501516,0.355888893645765,0.193118731518715,0.310602191225029
"NY1615",2,2122280,2,21,0.34403252883645,0.284532754620316,0.350012080263371,0.391408222481818,0.410018688707782,0.238398692810458,0.288044108473084,0.333030052666116,0.286137254901961,0.374792383913918,0.318338017161547,0.325384021400403,0.311593282752928,0.265959484986355,0.487560917318703,0.274062111801242,0.284755490174089,0.304130795734838,0.407499363381716,0.35386952421622,0.293956639218256,0.290846533303587,0.278805638067276,0.191677454043054,0.337130033964095,0.211393135999598,0.277578894741976
"GUARDSMAN_II",2,2122290,2,20,0.380057460694716,0.332518742791234,0.382651931446531,0.411475325424287,0.439731422123716,0.343033183270766,0.303788550293111,0.320536891847829,0.315194662309368,0.393306065789148,0.326896693527924,0.31610240173159,0.364633926965282,0.349380026358966,0.488309061181033,0.251029107295092,0.279494774247032,0.370451264206123,0.428325498913734,0.425054643130887,0.319101737186103,0.342536680355525,0.248837890911222,0.182937439338823,0.35754143239052,0.218151174049867,0.32801189113744
"SW4412Y",2,2122300,2,19,0.403878420054891,0.31655662941309,0.400344886266947,0.443209283713485,0.437159216549431,0.406900461939162,0.341469059239416,0.289782054663377,0.331241185070519,0.424581443196748,0.379950003479415,0.334276942616481,0.319007441816372,0.346243595976216,0.488231657262799,0.306539033004506,0.352632408782141,0.418801838474181,0.472567601979367,0.456991250275774,0.333504901960784,0.336683770853474,0.277983834074346,0.225186789373641,0.370130029207219,0.259390837399122,0.333529977603727
"FSG_415BR",2,2122310,2,18,0.38827254807647,0.290975463372764,0.370173849746334,0.446323246787504,0.452209329582747,0.420414990303266,0.305687227224982,0.312627081112912,0.30267908496732,0.390929327483206,0.31887134595025,0.311997738617247,0.281311704390337,0.351092163926389,0.477904102817598,0.276513213981245,0.318807236989055,0.412115583075335,0.471865601277366,0.442772436662868,0.301395338837289,0.323339984961536,0.27254226575273,0.213846167489714,0.362365856094985,0.267500076713001,0.31027460735538
"LANDER",2,2122320,2,17,0.343296173688331,0.277307633668748,0.280284473886878,0.369885066134077,0.444989238976326,0.435445177308147,0.299099482587795,0.324074382296974,0.280238453159041,0.344072360221622,0.28066576466293,0.289391103687455,0.332665100578818,0.382147822156266,0.510314684432332,0.271390980634678,0.285515879560302,0.366485272523106,0.429486744192627,0.396985018343261,0.315994159183656,0.309116779455145,0.246918266884319,0.189928784099139,0.331692567856837,0.206249207780923,0.272242432207314
"SW5606",2,2122330,2,16,0.426830277565572,0.317083697914595,0.357351636231994,0.477679717626961,0.434212688601248,0.427226645043983,0.395237750675644,0.293007787474275,0.388714955280358,0.449454213403423,0.385239357004063,0.331264995449657,0.298234609449474,0.383130357461908,0.483271487993654,0.343046794475366,0.400668034400033,0.464661212502622,0.463615028320911,0.376397192270738,0.303182045912927,0.291992265932922,0.252817440747664,0.235011802258523,0.376056621095794,0.231326898830486,0.282089978139144
"VERNAL",2,2122340,2,15,0.315087076230407,0.259907107507846,0.324534594859842,0.370010174473377,0.444709334977873,0.326051684340148,0.297532807433696,0.369081122645136,0.235721459694989,0.328601037268398,0.289129721500381,0.28378147320813,0.341394453086145,0.376732774058977,0.507128977717213,0.283585434173669,0.268356392567947,0.302480492931387,0.42097697391815,0.381300563375797,0.320995872033024,0.320758864017583,0.284808158656977,0.168521304078811,0.321945015269572,0.176119917763663,0.31294622260669
"SW5210",2,2122350,2,14,0.407715577813617,0.322022199684471,0.380891655932446,0.459899762595621,0.447522656431451,0.261524030664898,0.34468680393001,0.287830936085202,0.343723202614379,0.431580278128951,0.395663470957589,0.311733177704883,0.302820016295779,0.387143753453914,0.516502006711655,0.31404076782228,0.374987627394045,0.438415646960539,0.477275136098666,0.40754609696796,0.334151616787066,0.334466671624402,0.276763807492192,0.224729057947051,0.390244241801524,0.253408205222621,0.280397815252951
"55V50",2,2122360,2,13,0.396441657471069,0.290350061023041,0.358090535484267,0.443520908363345,0.438965233732676,0.269834931175623,0.324035325920761,0.288124431207082,0.329269865841073,0.415308184947988,0.383862938384554,0.296856797229098,0.318873396875008,0.424815410376908,0.51080576374694,0.313186037700104,0.360636105961954,0.431599051759715,0.47276443747032,0.369581800937519,0.334293515651875,0.323773304798812,0.272212179517019,0.249804602160198,0.394365361379875,0.281890159365052,0.263432622870726
"N-R-GEE",2,2122370,2,12,0.33075774080676,0.277146389319758,0.299610789786073,0.365740915200161,0.431226008697219,0.278793306796403,0.285393434965135,0.334117860773579,0.283527559912854,0.356685546465282,0.330381143670904,0.288617706810807,0.31703490894469,0.296889099267371,0.48947950753365,0.274795274631592,0.313582120074676,0.405352484606177,0.443470182685869,0.323766179711648,0.31370151030493,0.274976822587442,0.275832412642707,0.248081462407124,0.360950209778234,0.290152846998079,0.269484684421032
"WL_358LH",2,2122380,2,11,0.369215969215969,0.259197142345782,0.327980790856489,0.437842464867772,0.439192679557228,0.272783087300519,0.342399178011816,0.29626667445335,0.325163725490196,0.399131404774299,0.36289156626506,0.325654321484552,0.373267515316974,0.340052935774861,0.506033260150907,0.332160272804774,0.345277471760264,0.445128271572946,0.445531398472575,0.323687324294509,0.310820497668384,0.277414348236837,0.276232801562817,0.236761412366949,0.388490381596598,0.269799380158949,0.295562301005672
"HI-GEST_360",2,2122390,2,10,0.339564765300059,0.283088654408412,0.291690534522096,0.401412367637638,0.439160719486916,0.295052705292643,0.329552501239133,0.298827531706284,0.318510276917785,0.374753724498649,0.324770331829155,0.326828242986099,0.421376920362558,0.259197487004974,0.485720250304008,0.304442820606503,0.394949786928397,0.363958916900093,0.38637246872541,0.296893358897903,0.280283819140235,0.281305371706205,0.292060015011399,0.21693070367346,0.350778819533636,0.249507625272331,0.308752677848376
