"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"N-R-GEE",1,123,1,26,1.86,1.46,0.55,3.87,0.328015627932778,0.310474839730694,0.393761171742528,0.368563138259788,0.469892707097289,0.432408932357781,0.299744077370215,0.304913760024558,0.259374945533769,0.281349412921511,0.320499108734403,0.380222664958331,0.359224735209625,0.388880163211714,0.361801801801802,0.328435513335769,0.315179421549937,0.264547522386341,0.364152731799791,0.325460957915319,0.257886600807609,0.240168122312839,0.362308646081426,0.193087626450225,0.333182949051445,0.188484580686735,0.333055795847751
"SW4602Z",1,124,1,25,1.73,1.74,0.65,4.11,0.364111823180451,0.33357014543478,0.445502129277726,0.467995126301642,0.452295855050881,0.399762243358882,0.303656746541411,0.310526331157929,0.304766404368765,0.353655090354726,0.357703799949252,0.422878276638515,0.351763965165127,0.427036718480569,0.351440187467055,0.28327950310559,0.410648090120875,0.349914979207542,0.430587959999725,0.409197786526744,0.286492898098309,0.236868694380407,0.34225568566284,0.175078842725902,0.398788661510213,0.184650403510387,0.283960289052475
"ONEIDA_VR",1,125,1,24,1.93,1.75,0.77,4.45,0.301481198540022,0.287383499714964,0.399109747116819,0.369552821128451,0.456627577914005,0.434026025125769,0.335349230411151,0.347418107176979,0.24347559912854,0.272310369081553,0.283581977699625,0.378553174668836,0.335467391361594,0.386696666375811,0.310439346909935,0.354350018268177,0.304959553622655,0.30323214080954,0.443557537675185,0.394311806735742,0.246297033773107,0.261680355524707,0.3783732639088,0.179655588637644,0.348314400966597,0.201880594563521,0.31315356688491
"REGEN",1,126,1,23,1.93,1.85,0.71,4.48,0.338461883069726,0.291502122394786,0.404124433015465,0.375101933149942,0.443186193904388,0.377274848400899,0.278440689185959,0.312861070961023,0.259816230936819,0.279314404175767,0.278566458346756,0.361962260100756,0.335363956699787,0.373907666589907,0.294066500701958,0.387931704082599,0.302669718779067,0.323515838053283,0.414785603020897,0.341180899737351,0.231910044719642,0.251491534666964,0.369261039048751,0.19016463510083,0.380352674791411,0.214906639086727,0.303235050239001
"NY2003",1,127,1,22,1.44,1.14,0.39,2.97,0.357584363711815,0.312530492250991,0.490422860141624,0.434472770907361,0.445342846223606,0.366820244262699,0.301759146367201,0.305579752275455,0.255297557619539,0.300039661882452,0.300911805051239,0.383383979660971,0.370817857634149,0.365844790978481,0.327275847275847,0.423887373131071,0.28929083754052,0.249563310395132,0.32452574805516,0.325320523755262,0.206826625386997,0.296646229780014,0.377566751663296,0.133618592096101,0.32996451370456,0.174148577740956,0.374976894906658
"NY0651",1,128,1,21,2.15,1.62,0.56,4.33,0.367618646785313,0.325328334138033,0.4272189528452,0.391808167213074,0.438125837957182,0.391808785052483,0.271142832678923,0.274065573610929,0.273158061002179,0.284480305396495,0.289717801688036,0.387286616475001,0.363838460444613,0.361872945830165,0.372984807444404,0.378071713533898,0.263582449913912,0.293629487037106,0.390902488941705,0.3689194875259,0.216418558651531,0.289105872437471,0.35659259089351,0.178233472702305,0.339017205620725,0.207874122488502,0.336254401223673
"NY1517",1,129,1,20,2.05,1.55,0.64,4.24,0.385474021258335,0.353728174839916,0.479699373666742,0.414953209983545,0.436461680215696,0.393029987914898,0.326548312910255,0.291828470594064,0.250664596949891,0.287381631066524,0.310877722642429,0.391914475905541,0.378774218807868,0.384059849835251,0.427365685012744,0.39056010282901,0.294361157462762,0.301903929213011,0.431302348949408,0.398452479240159,0.271519597137829,0.248324037579634,0.377920358330618,0.162123467718141,0.341211790393013,0.196396237518148,0.316594966344747
"SEEDWAY_9558",1,130,1,19,1.86,1.62,0.6,4.07,0.388480377212772,0.324543196250779,0.431688682342838,0.377008704827222,0.438098670483742,0.385744451626805,0.295456791031511,0.281735457151339,0.25843524251806,0.285917480061041,0.301798041840565,0.383081666923811,0.354516258743109,0.374704677378474,0.421287844389819,0.352660821904519,0.361212664947105,0.338400523204877,0.434459975636446,0.392192496756391,0.270999747354718,0.243338731756223,0.377260406989858,0.192465464982162,0.333367226075292,0.221385475585569,0.317275620043786
"ALFABAR",1,131,1,18,1.84,1.49,0.62,3.95,0.385241301907969,0.318533904669939,0.413252502947651,0.372626550620248,0.453234695334559,0.412406996243313,0.277936081253339,0.270138268589905,0.24794302832244,0.291386122731031,0.292815168109286,0.399614369892354,0.360033812074387,0.351643937261725,0.381522194463371,0.391003876297994,0.337024894066632,0.31673960822704,0.415548627313333,0.353122771584351,0.252527523348278,0.229755831536154,0.369163681590138,0.181508190919547,0.313802075900714,0.216910675381264,0.377053950012686
"SW4107",1,132,1,17,1.78,1.47,0.54,3.79,0.404510794216677,0.332340097972928,0.402473471140281,0.403143757503001,0.473129321814741,0.404327902844527,0.308717826265754,0.297586334689936,0.270183660130719,0.367199127438586,0.312445707739825,0.406707228449596,0.368217411087479,0.326853063751459,0.374012193112539,0.342980392156863,0.364864205186392,0.306990392828693,0.387433626649313,0.336571208926675,0.210870313037496,0.215419727379644,0.378417355113879,0.208523214578578,0.334377348707557,0.218090398600755,0.370557506584723
