"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_136","GNDVI_144","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_177","GNDVI_179","GNDVI_186","GNDVI_192","GNDVI_195","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_244","GNDVI_248","GNDVI_251","GNDVI_255","GNDVI_263","GNDVI_274","GNDVI_278","GNDVI_300","GNDVI_305"
"NY1614",2,218,2,31,2.01,2.14,0.86,5.01,0.26348220268364,0.171473005976845,0.169185796126368,0.335684776768184,0.124689727075766,0.147217660166863,0.117770835466081,0.130811600561725,0.152516467645986,0.160868673633063,0.202189416757214,0.237753307507272,0.17538575745728,0.231395370603394,0.22113274808651,0.0947948743924547,0.1689861122206,0.182969519996402,0.231770422230136,0.215342855097648,0.213649694379925,0.105521941736736,0.0437278826980428,0.173783858270105,0.191160736383193,0.18789758045572,0.115911542327879
"NY2003",2,219,2,30,1.29,1.39,0.63,3.31,0.221472664368002,0.160594956771638,0.187338880579204,0.332198108416697,0.149224903656821,0.16436990622371,0.084050881178593,0.0954177565423832,0.143165145817719,0.157562684972309,0.203757943947707,0.237684296041772,0.208943963734427,0.263419069964249,0.263375020013164,0.0668272740256443,0.17503323548238,0.189287863151142,0.238714365878566,0.222541831972388,0.189751320145245,0.107066214942499,0.0231192037543595,0.154959254182234,0.17546843013818,0.198283561797083,0.11016694107378
"ONEIDA_VR",2,220,2,29,1.63,2.07,0.99,4.69,0.224300608639172,0.141980255136791,0.155146920057758,0.316223205397832,0.133973562958325,0.155547124361172,0.13261212872744,0.149316378471517,0.161635490512399,0.159493578887861,0.186802362886478,0.204855174654148,0.185421122082177,0.260155689963201,0.23481855364261,0.130017785720402,0.208807560699499,0.193678371353033,0.267081571667714,0.240645252730454,0.237057861571683,0.121054906574016,0.0371435310194275,0.195286510954639,0.221959083463239,0.195154590521066,0.125525335439114
"WL_349HQ",2,221,2,28,1.37,1.96,0.83,4.16,0.227500291218684,0.148820264604997,0.160855427133523,0.331879413754696,0.121632952322074,0.150206833884204,0.192040682315247,0.197230394689934,0.198911638976753,0.189038020936621,0.221360208881384,0.204665816749027,0.211521425882908,0.262810581553485,0.258722273672154,0.190056600437608,0.239423798555397,0.236391266906438,0.279218693641433,0.246488978586704,0.235444463321747,0.111354549126573,0.130073716760208,0.234589390543893,0.254280723623677,0.182672017367588,0.114597044008371
"FSG_421LH",2,222,2,27,1.79,2.04,0.9,4.72,0.277805673486954,0.19713973540845,0.197527572490397,0.359564305629849,0.125541584812508,0.144313081108122,0.144528955009316,0.141649643343351,0.185050258163657,0.183067285023394,0.239414496972788,0.232503943718967,0.22309270724435,0.25890054703614,0.273730878213764,0.132984579698019,0.216747971062641,0.229076432165328,0.283553547759829,0.255765141829668,0.262530932361237,0.131447076583148,0.0752895481258658,0.211404429104639,0.229657403215678,0.198019014158117,0.127663328556753
"SEEDWAY_9558_SBR",2,223,2,26,1.92,2.3,0.94,5.16,0.278504711396855,0.184348937269542,0.200867041053876,0.345173766763062,0.142606571800627,0.15535799698248,0.102168609223526,0.0862290528475137,0.155069027063158,0.160230725652778,0.206295393387224,0.188780925504075,0.19009349818207,0.252410631864824,0.23857833600915,0.116595726010167,0.190883914481372,0.207838988677508,0.266863957093467,0.23912402487244,0.232846280225045,0.118725709248366,0.0665835691412471,0.204003735231807,0.223828359579579,0.174852068642399,0.11193154975416
"ALGONQUIN",2,224,2,25,1.47,1.61,0.74,3.82,0.268954056669815,0.187182612443274,0.183931513462583,0.342108456480228,0.123867868749783,0.140702835497297,0.0788146277514881,0.0535684959753936,0.137851714906469,0.151430348258706,0.188189031718976,0.189456419130151,0.172793676450431,0.298767400602525,0.236058937369695,0.0923058333552585,0.172240875428356,0.203110582687583,0.265400549309674,0.236394197704352,0.213779985981587,0.114895352277134,0.0341163867441429,0.184316734625897,0.190610177900254,0.172263153223946,0.0939242827904305
"AMERISTAND_427_TQ",2,225,2,24,2.31,2.04,0.87,5.22,0.328045342524255,0.211249942169025,0.176750214259204,0.354964815239093,0.11435063007457,0.1412724377466,0.192937969184112,0.168852089844186,0.204894488274068,0.187713521031228,0.228009597656695,0.210007386590683,0.194357635963821,0.264282480073458,0.242845516240856,0.184445053458312,0.212574406579537,0.235141388232496,0.278879160118837,0.230971971128449,0.225007298559751,0.130430398467304,0.119103740228569,0.23227162170869,0.246408656731346,0.179922240732372,0.109768256146842
"REBOUND_6XT",2,226,2,23,2.15,1.79,0.74,4.69,0.332359662870646,0.202150637933433,0.191781021686985,0.364246453590757,0.124611429963936,0.15761613043753,0.225085532883475,0.195219052467576,0.21143242600663,0.193275640419368,0.231027792653415,0.234923871139889,0.202359568749156,0.24185977700967,0.240354223588234,0.178130557566917,0.201928956779383,0.236965223255904,0.272455654770397,0.220721884619679,0.218667827556582,0.124952327590672,0.132925346737178,0.227717452710862,0.238817290068232,0.172860613558505,0.0956610934361931
"SW4602Z",2,227,2,22,1.97,1.51,0.71,4.2,0.323912822703147,0.20423777790578,0.195123210026121,0.367127246144567,0.14871416163144,0.159864948037777,0.159909743895813,0.127749424211941,0.1790749132202,0.165428599145128,0.218286540291904,0.247628489359999,0.205480390157959,0.253506646008601,0.250889497460889,0.118113738310652,0.17187090480212,0.219880036028231,0.264552176442192,0.209768788126896,0.23638069441003,0.140650770476991,0.0575971544886456,0.195348000677912,0.199159930501556,0.188698175130305,0.114130244433051
