"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","NDVI_125","NDVI_142","NDVI_145","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_178","NDVI_184","NDVI_187","NDVI_193","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_251","NDVI_255","NDVI_265","NDVI_277","NDVI_300","NDVI_306"
"NY2003",2,233,2,36,NA,1.18,0.74,NA,NA,0.205629894908941,0.134489413397972,0.413770106,0.612759402,0.578944869,0.531113809,0.471702022,0.470863733,0.375663333,0.444500474,0.396754039,0.434030056,0.435617273,0.417963801,0.467087203,0.471998857,0.337035778,0.337812044,0.463343323,0.403769876,0.402383314,0.350462772,0.36318178,0.472666962,0.579182572
"NY0651",2,234,2,37,NA,1.91,1.18,NA,NA,0.332841609555997,0.214456091634605,0.462257944,0.618384239,0.593612788,0.540224927,0.485307595,0.467053863,0.393496306,0.425909515,0.421555994,0.49890119,0.469488126,0.445623788,0.474532786,0.444003159,0.400088533,0.417418598,0.503218364,0.447350886,0.370863097,0.453718666,0.489622779,0.466979774,0.628371351
"NY1517",2,235,2,38,2.54,1.4,1.05,4.99,0.228392756483527,0.243967671925862,0.190829573064691,0.455467193,0.616118047,0.589225087,0.528948839,0.473334725,0.463120452,0.400982307,0.462791429,0.409042599,0.466512976,0.4473455,0.431055328,0.452603155,0.481659985,0.35723291,0.392603806,0.482585262,0.440184023,0.421636076,0.388477757,0.429537441,0.473341481,0.62174413
"SW3407",2,236,2,39,2.64,1.8,1.33,5.76,0.237384597289965,0.313672721047537,0.241717459215275,0.479227267,0.624118259,0.588394599,0.54000045,0.475892179,0.457321959,0.372581181,0.389155914,0.428601971,0.506241904,0.465530217,0.453598258,0.449041431,0.469902106,0.425881758,0.421684819,0.508378491,0.443898964,0.354708316,0.504589863,0.500883984,0.476685951,0.631208738
"ALFABAR",2,237,2,40,2.59,1.61,1.04,5.24,0.232888676886746,0.280562822714741,0.189012148559313,0.46155785,0.609548825,0.581313905,0.543771811,0.488628817,0.463645713,0.410824363,0.446023465,0.414944139,0.496788197,0.469392298,0.451976825,0.440375093,0.459890005,0.385969151,0.391837315,0.488868658,0.462544402,0.40243754,0.415175377,0.452818257,0.471789212,0.620558526
"SW5210",2,238,2,41,2.74,1.82,1.1,5.66,0.246376438096403,0.31715797350362,0.199916695591581,0.47488875,0.621339295,0.585779773,0.541920216,0.481212817,0.468130655,0.402798211,0.43822976,0.428809986,0.505511093,0.469640849,0.457291891,0.455567138,0.46188337,0.410762115,0.419949058,0.50200449,0.469299918,0.372547006,0.464616506,0.470927463,0.489081417,0.622653413
"SEEDWAY_9558_SBR",2,239,2,42,2.66,1.61,1.07,5.34,0.239182965451253,0.280562822714741,0.194464422075447,0.453758654,0.602009459,0.576934372,0.533504921,0.473996609,0.432769759,0.413878794,0.452783759,0.42258367,0.495421576,0.464589537,0.455273439,0.457777528,0.467504554,0.376398043,0.406779546,0.49908306,0.456399954,0.407489734,0.411043301,0.446253253,0.487014817,0.621548684
"WL_349HQ",2,240,2,43,2.66,2.01,1.32,5.99,0.239182965451253,0.350267871836416,0.239900034709897,0.474759103,0.613403704,0.580904164,0.538139204,0.473134212,0.437688859,0.364972823,0.353802314,0.479129718,0.515763639,0.475529297,0.468953291,0.452791788,0.44451968,0.463661183,0.426283447,0.487084146,0.456351954,0.348946949,0.510934802,0.497451884,0.479487233,0.626505388
"ALGONQUIN",2,241,2,44,2.59,1.38,0.78,4.75,0.232888676886746,0.240482419469778,0.141759111419484,0.443104662,0.61874722,0.589696785,0.547777928,0.486561966,0.466953967,0.442631893,0.494543327,0.408711698,0.473373349,0.472173653,0.464194498,0.494584394,0.483218556,0.358570659,0.357475517,0.448064045,0.454977124,0.38721186,0.359383828,0.371986416,0.489735725,0.578863013
"PLUSS_III",2,242,2,45,2.53,1.83,1.05,5.4,0.227493572402883,0.318900599731662,0.190829573064691,0.478613454,0.609288622,0.585151312,0.53742093,0.480001565,0.476418457,0.410901397,0.416294278,0.445147072,0.511318157,0.471658773,0.477000168,0.497921016,0.461790269,0.425862191,0.429862465,0.467280138,0.436104319,0.33905226,0.490642961,0.479310303,0.473960528,0.632370271
