"Germplasm","Rep","Plot","Row","Range","GNDVI_73","GNDVI_88","GNDVI_95","GNDVI_101","GNDVI_107","GNDVI_117","GNDVI_131","GNDVI_138","GNDVI_145","GNDVI_152","GNDVI_160","GNDVI_165","GNDVI_173","GNDVI_179","GNDVI_187","GNDVI_192","GNDVI_201","GNDVI_206","GNDVI_215","GNDVI_223","GNDVI_228","GNDVI_237","GNDVI_242","GNDVI_257","GNDVI_263","GNDVI_270","GNDVI_278","GNDVI_283","GNDVI_293","GNDVI_299","GNDVI_307"
"SW_1011",3,320,3,5,-0.0275120925645501,0.147190572993337,0.23637744752025,0.30718853236958,0.366142043275037,0.422687800957124,0.0848451495500128,0.14488180409887,0.345477771640965,0.393637129043965,-0.00553779052878137,0.153677337595154,0.254779839199105,0.345317661237282,0.0289115494046466,0.0694650967765421,0.145694930767387,0.116807769572849,0.0219989770873622,-0.00996430845909276,0.0454069487144912,0.082658793091189,0.10923746241531,-0.014921931887292,0.0587680341047269,0.156352833982184,0.369908587294142,0.0498616899087755,0.2142263000638,0.179731592753004,0.365767202632143
"NM1715PAR",3,321,3,6,-0.0730291004553645,0.0705454371445591,0.193007754051642,0.257976296806047,0.347418921125648,0.385493167564126,0.100138785288923,0.125274221295376,0.339588863451627,0.355821737459392,-0.0500922322387088,0.0831400431883829,0.215119352147717,0.297305082941199,0.0293952822777695,0.0394845579687393,0.0706912862507152,0.0976790700421626,0.0127823734032765,-0.0131779058257455,0.0256600299979433,0.071195794641756,0.0724398212475121,-0.00334117166635636,0.0091132656091873,0.126202836865586,0.322459280913645,0.0309773680154201,0.118976403397953,0.137693095078707,0.327778004717493
"AMERISTAND_803T",4,322,3,7,-0.02921966482283,0.171550575534658,0.279129879323476,0.33704111762982,0.410500868399895,0.444925688718696,0.105791564927785,0.175703073443327,0.369280627631829,0.427510499308855,-0.0178978662180388,0.145956819309679,0.272161515647511,0.373885254706829,0.0225731122521993,0.07366800713197,0.127994975858077,0.143517819284556,0.0142030944626163,0.00126913916753578,0.0299249304576694,0.0870867560059356,0.0945618259477002,0.00943825585509712,0.0624451732416122,0.177643561375048,0.385279258796351,0.0287755814957157,0.228827912987885,0.198576021862443,0.399767766968535
"NUMEX_BILL_MELTON_CA_2019",4,323,3,8,-0.0502108855860211,0.132066565902131,0.238922967374615,0.296778123827844,0.37651369659811,0.427518619227184,0.0907223498475816,0.156133977834869,0.360337321916189,0.424627108368149,-0.0528694535011478,0.0617627135252168,0.222814849173897,0.361085820399975,-0.0460710690092726,-0.00869306133996278,0.0563983519087029,0.0635124844702854,-0.0413028861978222,-0.0530596934962955,-0.00248743279041753,0.0745835517213445,0.0257988288488622,-0.029822836508022,0.0274842978245954,0.175532508275297,0.332332599107236,0.0230768367356865,0.162185434425817,0.175173947162478,0.34705614886853
"AFX_779",4,324,4,8,-0.0466649861984391,0.18077488397014,0.279689194929181,0.334163136427277,0.408164568928015,0.454565325384998,0.099912596027239,0.185290579200098,0.368381711492009,0.448934372799032,-0.0420052504649367,0.147461199380176,0.233303772994775,0.397275799315496,-0.0227898213527131,0.0292320735407433,0.0980046760342353,0.101614295112135,-0.0123929939198285,-0.0295442372476227,0.0138889993651179,0.0360860150388722,0.0286237161192354,-0.0234949141015698,0.0726296089266168,0.126145381242149,0.360395347302569,0.0442931710659342,0.188257231619955,0.194449974737164,0.367006783644032
"NM1702PAR",4,325,4,7,-0.0296897235164294,0.149122396394802,0.248559120593304,0.31003928869212,0.373623876912929,0.434180161405126,0.0552336400289465,0.115769279414466,0.32082092910651,0.379418193304079,-0.0500771126242958,0.106489837166932,0.195488152526645,0.328507122201859,0.0498765886769011,0.0539463353223698,0.0950432351890143,0.122798947265227,0.0272270988218533,-0.00235589550950396,0.0307225309096611,0.0850148158784106,0.0913978449696227,0.00233171787195918,0.046979041644735,0.147777459061816,0.340984789439911,0.0496351035899277,0.180207681580164,0.168547630807352,0.359031427652043
"NUMEX_BILL_MELTON_CA_2019",3,326,4,6,-0.0219165358161753,0.151533397043471,0.252233610612934,0.326496983730532,0.401970600143877,0.386162262462731,0.0657940691788373,0.124360112472825,0.335975024124425,0.380373353748639,-0.0797276047281118,0.0763386670547786,0.185516233103661,0.312288647640897,0.046319899656881,0.047340008059671,0.115546199889935,0.139765776509064,0.0103129795976829,-0.0067949533768793,0.0338618985500256,0.0776303138026049,0.0812354290605906,-0.00755648125893231,0.0362189791469402,0.167327593902697,0.341179779379661,0.0441128219307151,0.146815570607321,0.152002396821973,0.345679395057332
"AFX_149092",3,327,4,5,-0.0247811898481004,0.209040880017576,0.291395306724083,0.37143553378318,0.413367149401023,0.417332238943022,0.0830000713081513,0.17698005086766,0.363389718177011,0.42995801469593,-0.0122419034240362,0.192844808038454,0.241300530754824,0.363641574158647,0.0385225072772461,0.0904599566654912,0.147169970484327,0.117505788718017,0.0426795721700669,-0.00706892174489309,0.0356581709370488,0.0771185758478328,0.101107879897257,-0.0232024819506463,0.0835853381012915,0.0831285512076229,0.358396642155427,0.0731776513037957,0.234132623533041,0.196807474721457,0.366802569119848
"AFX_149092",2,328,4,4,0.00384821306719761,0.212247334364434,0.259877384622174,0.319060557558652,0.384639085832403,0.461719129404585,0.0573611239651172,0.15054500373508,0.339521189428378,0.410611582690584,0.0015888745317133,0.188116857198342,0.240936800334492,0.362682483937581,0.0586741482250698,0.134656635658733,0.205098871286312,0.172245708365398,0.052645195621512,-0.00962387451817788,0.0310051548472393,0.0730692460084159,0.0995550753559768,-0.00549836159450261,0.0828752038824648,0.160719040076534,0.365690374124785,0.0785959839319449,0.251322817630343,0.211356502548146,0.384316611556073
"NUMEX_BILL_MELTON_FG2011",2,329,4,3,-0.0114030698353287,0.165117127748122,0.209607059570918,0.275544385283881,0.337090640902272,0.436529902935745,0.0431989727789275,0.108418707759644,0.319814803635198,0.370396007477703,-0.0529463386222628,0.0663791369551336,0.193332198138267,0.33119039645924,0.0532577948350259,0.051897328284195,0.170536457733117,0.153976392671235,0.0545843826562973,-0.00480009197008986,0.0387552719107301,0.070821287628793,0.0908762979923208,0.00865105763543951,0.0187344265795559,0.170831306903579,0.312375652530523,0.0686643009590871,0.13245592520201,0.142262603060011,0.310581470748783
