"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"NUMEX_BILL_MELTON_CA_2019",2,334,5,3,0.443352082044857,0.408391401908357,0.419889654341193,0.382496268438246,0.413386763761804,0.40177243748178,0.398134201207979,0.353805111788305,0.4122157623515,0.477708268492582,0.38245632014038,0.397176789414953,0.324608313991384,0.391375579541024,0.363701929739948,0.441144472547072,0.377265809119164,0.386376810787699,0.211630765579037,0.444255266101756,0.449937819485771,0.439978603547131,0.374019970146226,0.488981952642649,0.434460613513698,0.279983786535071,0.38260638916756,0.197618464235248,0.355987124056586,0.284973587275163,0.272082359287898
"NUMEX_BILL_MELTON_CA_2019",2,335,5,4,0.444213830417496,0.411969214637727,0.424136246718592,0.377094079010915,0.408695841520688,0.41684525393868,0.397751989307084,0.344025302428664,0.401976995841743,0.439359696219216,0.48409914436223,0.397071332867829,0.327420628270301,0.382904552704995,0.362524079685325,0.439464992751748,0.397797050800832,0.393115876500546,0.226315596133251,0.450310780309456,0.462910875067229,0.469957770772616,0.449210412231362,0.481302692645686,0.432858689046864,0.268537094175109,0.375104979541092,0.181536994248588,0.365441097736878,0.268492923142074,0.278891931304357
"NUMEX_BILL_MELTON_CA_2019",3,336,5,5,0.434765576793566,0.402567683757995,0.443708013778141,0.418313165655676,0.435890248068592,0.450353474723223,0.377332371954743,0.364564458261937,0.445581728709454,0.454978732233634,0.55514449682312,0.402260835680252,0.34782566309826,0.397313824058761,0.346925915723652,0.450683992379347,0.409126954315145,0.416155387867305,0.257542148338415,0.432170983171005,0.451015161878705,0.430273473413236,0.445336431892612,0.489312707782075,0.434754518466383,0.267867676553172,0.375358183441018,0.192889987069805,0.365676826464604,0.301810366970273,0.285560856243235
"NUMEX_BILL_MELTON_CA_2019",3,337,5,6,0.442957960022707,0.403782448285868,0.424916522409078,0.41498335334461,0.441621456513212,0.427810782432631,0.38104668447851,0.3786403450269,0.425966815002148,0.470099675786674,0.368357164734899,0.409750484464448,0.347828240507979,0.375782807704177,0.329799819277442,0.447992399464225,0.376974395074713,0.375156619044216,0.324994560441268,0.448229817201878,0.450604638742657,0.386672370766488,0.348374074660004,0.477497834729669,0.440713332829923,0.279416220087525,0.358365695753383,0.234604018523251,0.35599793402745,0.284194257087939,0.278916865253564
"NUMEX_BILL_MELTON_CA_2019",4,338,5,7,0.449322493224932,0.414759848121301,0.435100822347182,0.409796999259474,0.438535423127015,0.435227766320203,0.407480974087225,0.372168608016359,0.417506116189584,0.510359304215513,0.489950665760528,0.41707370210957,0.327620857176094,0.385862802382286,0.363961487343152,0.453736843834536,0.405466949761716,0.402191448453938,0.297573344560959,0.447319223728522,0.447239833676661,0.444636343881116,0.411461820500558,0.494591729425334,0.440040560511753,0.279135023443794,0.366404756848588,0.241060107475605,0.362392226394104,0.301502695131393,0.26841889066362
"NUMEX_BILL_MELTON_CA_2019",4,339,5,8,0.44743486677174,0.397444059976932,0.420028419002671,0.398753606240631,0.430290108608499,0.436908205212703,0.413393460165973,0.356616009903207,0.410422796650698,0.501421531578888,0.475450342738721,0.407914708944711,0.332347541105711,0.41870140723989,0.473501046823404,0.414633230172734,0.367809599597845,0.331760699171112,0.445772106507973,0.460762260657569,0.449620455378193,0.441293113133356,0.469796852694042,0.32266350167518,0.429627691898325,0.270120878251492,0.361123112259967,0.347897779616169,0.372411393082771,0.293579900774311,0.272790839182115
"AFX_149092",4,340,6,8,0.448593490561475,0.402695019398134,0.41659147399296,0.416147456241874,0.419493675555052,0.454232902814218,0.420427154994312,0.379942917337875,0.397344913052009,0.497790227201992,0.366483072629801,0.39272017525278,0.352871095905529,0.415515160922535,0.462021107577414,0.412999737523314,0.387707558308315,0.360921031976373,0.461588238119862,0.470026983870151,0.481574158846418,0.215464286311285,0.502176628789325,0.252261686681593,0.424638173626318,0.266286273835647,0.374948761196665,0.388144311336753,0.373643260709359,0.32136240416438,0.265270035365342
"NM1713PAR",4,341,6,7,0.460289798350558,0.418977540106952,0.409329053994261,0.381049663475872,0.396747819325996,0.436879709148617,0.390417162583277,0.411983543417367,0.381761943086403,0.472455648926237,0.404050118121703,0.427962656727126,0.326524961361563,0.379848204409301,0.311752926893287,0.474460280766722,0.427628685455545,0.42283550556939,0.338520647246265,0.449310203367835,0.483510366244783,0.250674719513474,0.442360790182141,0.509993704872598,0.436855949054847,0.297379319534142,0.317140175922071,0.256546325252903,0.425019368492659,0.296219154889318,0.319818275568934
"NUMEX_BILL_MELTON_FG2011",3,342,6,6,0.458766783014626,0.417894096676104,0.419819425295377,0.416460124279597,0.42258129390512,0.42072452912789,0.367524499515195,0.408829685720442,0.397892867581993,0.443077428502265,0.387328608249731,0.421531354174869,0.330234743864586,0.364135644948726,0.374286949724758,0.462634058389265,0.418048233335366,0.405947740242684,0.381833851857503,0.457176875918326,0.478061508841263,0.36455493706434,0.369424457161145,0.503482936427166,0.442647645344378,0.291837986698891,0.33652864938664,0.229150151805479,0.375380842214384,0.287566305613662,0.279557034106576
"SW_8888",3,343,6,5,0.445496513130188,0.405607428595117,0.416465390917688,0.41265454418584,0.420029573167557,0.425116200326284,0.397081933219242,0.376018612573234,0.40774724020709,0.446145272377094,0.486051211241878,0.401140049671227,0.337401634917975,0.37544652184678,0.333324429530575,0.454371132622753,0.412791240142053,0.426814358494923,0.275383764400702,0.457033005606459,0.481096169985504,0.278538689132942,0.507517643058336,0.509254167353216,0.440390790462526,0.288264191639705,0.345220186974966,0.186633083833256,0.39469570995761,0.292205781959032,0.275212706805569
