"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"NUMEX_BILL_MELTON_CA_2019","132","1","5","1",-0.00190828408533065,-0.0153574111286643,-0.73153733007885,0.0492774708619581,-0.0041539085787469,0.00394547312614827,-0.00297460125825748,-0.368576116989452,-0.0290000015329952,-0.0041436488829274,-0.0187651552073957,-0.309583075930452,-0.00215508059766701,-0.0646944682212991,-0.49457256679124,0.0601249875247606,-0.0135907625408118,-0.0454102142945357,-0.31747501974247,0.0031585527016973,-0.00561764480550411,-0.0499941578566928,-0.124663231133432
"NUMEX_BILL_MELTON_CA_2019","133","1","5","2",-0.0175916899672755,-0.0388745261818948,-1.01848564941729,0.0829692727270685,0.00659436515667109,-0.00668627028527006,-0.0191467674515926,-0.655782354015397,-0.0193189125347254,-0.000942701696625908,-0.017933204848048,-0.578288282229048,-0.000915559432711991,-0.0581441225701456,-0.515318444166956,0.0335105719051571,-0.000872610989439639,-0.0348368664526419,-0.47254641796933,0.00841116585770343,-0.0048891531188083,-0.0506333651623305,-0.131562994897542
"NUMEX_BILL_MELTON_CA_2019","134","2","5","3",-0.0281402825266158,-0.0471743592723705,-1.14941026865674,0.103406564760415,0.00147782201412847,-0.00336871122872469,-0.0185098019507077,-0.674196427437679,-0.0451508833926957,0.006990335377419,-0.012658718504149,-0.560581256009646,0.00337377483878764,-0.0463795116717337,-0.441284153329743,0.0141151943969966,0.00120742283206093,-0.0230629832587582,-0.465816994084608,0.00929670355788686,-0.00138808305771412,-0.0492397124728143,-0.229754608052445
"NUMEX_BILL_MELTON_CA_2019","135","2","5","4",-0.0326290401609929,-0.0535075027458867,-1.53395648536669,0.0968252846511965,0.00664849428316084,-0.00461517834380338,-0.0276397662809804,-1.01069705973806,-0.0700086558721429,0.0176316304743428,-0.014875180013178,-0.779318950206504,0.00154573227330022,-0.0523426609360781,-0.61032606235565,0.0010747060541312,-0.00144630290334452,-0.0264298067927262,-0.642468913396779,-0.0137786231565664,-0.0131073905713904,-0.0664588601561828,-0.469760569311547
"NUMEX_BILL_MELTON_CA_2019","136","3","5","5",-0.0437836382028906,-0.0704348731106002,-1.9527255781155,0.0968520677548598,0.00207536770118214,-0.0091917409410762,-0.042742671776261,-1.7230724489537,-0.0952183202369249,-0.00747517116531224,-0.0328181015009218,-1.31149108666997,-0.0237544890709113,-0.0856519785784431,-1.30401186559603,-0.0046127050970733,-0.0240217146796942,-0.0589964876214674,-1.20703360326259,-0.0163015811360764,-0.0229807535796121,-0.0745047668773984,-0.86640145564837
"NUMEX_BILL_MELTON_CA_2019","137","3","5","6",-0.0296245851951627,-0.0524676956803644,-1.60033494558705,0.123824210357452,0.022152059780433,0.00329978852195368,-0.0235968895736309,-1.3738275214447,-0.0686245735391785,-0.012191676082866,-0.0228487436880154,-1.11789540293549,-0.0302604610664551,-0.0927027094509762,-1.29912230691792,-0.0161272937800966,-0.0210714330103104,-0.0590926672728191,-1.17878540046697,-0.00461004641451236,-0.0155305772533756,-0.0620478574815646,-0.667039106443072
"NUMEX_BILL_MELTON_CA_2019","138","4","5","7",-0.0139406626329107,-0.0344817127760811,-0.801707689639814,0.117479284525881,0.0250840417714249,0.00918816297780358,-0.0180168364730131,-0.833700767722813,-0.0645168747477277,-0.012674608269961,-0.0172796241880328,-0.742021969517115,-0.0393936584660726,-0.0883290155889989,-0.759948193122279,-0.00965297458044107,-0.0176585213782235,-0.0448228923499799,-0.665286927112242,0.0048028821585146,-0.00700592850366743,-0.0546073059713798,-0.277465392970479
"NUMEX_BILL_MELTON_CA_2019","139","4","5","8",-0.0101023395797564,-0.0266218350571317,-0.879406423657746,0.112899775609831,0.0205824425348284,0.00417251515118261,-0.0198361962758286,-0.751930204138736,-0.0595429558174495,-0.0197733003807138,-0.0169117271940894,-0.663962209003541,-0.0281063475298936,-0.0801730280978142,-0.689218565109773,-0.0150049441125102,-0.0114912675566347,-0.0322532730821702,-0.596290386515209,0.0028511751805499,-8.27569486742993e-05,-0.0549135194424834,-0.293509371764224
"NM1713PAR","140","4","6","8",-0.00572830612176195,-0.0158158226435045,-0.743865604044689,0.0222244591638553,0.00422656436392829,0.00854350854360887,0.0077765012494803,-0.242012101541765,-0.0559075495193009,0.00468655800040344,-0.00888362367432419,-0.0444167699077118,-0.0326342559354719,-0.0373978710208521,-0.180434309559322,0.054997125109666,-0.00822165061263885,-0.0162924414325519,0.0622196598226217,0.00325887401360798,-0.00259946781246675,-0.0447412209227297,-0.0333799825860786
"AFX_149092","141","4","6","7",-0.0151044502328891,-0.0234135399960834,-0.878163230887814,0.0520803071798207,0.0141044830117722,0.000889781803088846,-0.00162994164710979,-0.376197615593007,-0.0712408978218828,0.00378265286629996,-0.00723713389695168,-0.228395113893125,-0.0237097285468935,-0.0338920014483238,-0.211945083534392,0.0301008526505445,-0.00322686722967157,-0.0135894566473876,-0.0994650034009514,0.00719689052101119,-0.00322985203988005,-0.0459483385472916,-0.0343540238367623
"NM1705PAR","142","3","6","6",-0.0230171741385909,-0.0296371169462095,-0.89418400478862,0.0611935952570227,0.00539725302534427,0.00461989735325115,0.00113317834174051,-0.354160151539607,-0.0723883626112168,0.00784281930704742,-0.00255167993178208,-0.205675552161306,-0.0176258344318456,-0.0243980575077253,-0.14673961476665,0.0117647219146204,-0.00876589243978373,-0.00500478549854162,-0.169716505255082,0.00742653503578101,-0.00217129798696699,-0.0472835662852138,-0.157809920430143
"DONA_ANA","143","3","6","5",-0.0282079017243363,-0.0351569092488573,-1.26735988076921,0.0844134416051629,0.00887505317833647,0.00209708140041079,-0.0102754988672854,-0.751564292836486,-0.0730178733590556,0.00809404869893753,-0.00736535917551571,-0.460266579992014,-0.0132588067133432,-0.0334298451510014,-0.394609151935428,0.00287815733841281,-0.015734336891166,-0.0138144501846234,-0.48240811269764,-0.0130248392807562,-0.0142568169888089,-0.062590316198667,-0.416049755226124
"NUMEX_BILL_MELTON_FG2011","144","2","6","4",-0.0409196234359306,-0.0603458695569495,-1.70106610479275,0.11134451867325,0.00671819921413502,-0.00228280225833085,-0.0268040973062765,-1.49784288244029,-0.0932630191024281,-0.017955520672463,-0.023200776392895,-1.03540180031222,-0.00692446121516372,-0.063093203462826,-1.08798071567071,-0.0044273125347908,-0.0350990467574136,-0.0395264327978022,-1.05913807795368,-0.0134108038532236,-0.0217243915055928,-0.0673831058822507,-0.775457962555119
"SW_8888","145","2","6","3",-0.0294571042188233,-0.0542609049961699,-1.34427249248756,0.156834860634041,0.0257292516042319,0.008206613830781,-0.0141379524899527,-1.19157446680013,-0.0891715702494701,-0.0115186341638226,-0.0146921038342391,-0.838800983886696,0.00549520664169233,-0.0688405158592618,-1.01746524214288,-0.0182806394645945,-0.0272154517845816,-0.038966798091529,-0.930115662677048,-0.00144302748923127,-0.0122955024496856,-0.0521627501345581,-0.518168045886532
"DONA_ANA","146","1","6","2",-0.0182353885058148,-0.039328586513505,-0.646321748520153,0.147648656456568,0.025580118502535,0.0115851598277588,-0.0129684027238405,-0.740187166338683,-0.0832982972509446,-0.00543034325465045,-0.0107009794455101,-0.563140310431916,0.0168512182655896,-0.0647403569243266,-0.619099011705571,-0.0117984356789544,-0.0224975858595447,-0.0282232430023231,-0.508662576339442,0.00504068782614777,-0.00513410925016261,-0.0464007118908157,-0.241378089506457
"AFX_149092","147","1","6","1",-0.017982492323217,-0.0295127997593285,-0.771651970352713,0.111039159416217,0.0201578029235109,0.00649822828906504,-0.0174718877557902,-0.68524631264526,-0.0682990906991628,-0.0170538700244223,-0.0133787352873544,-0.546432497468501,0.0155864216488903,-0.0631351413392806,-0.694231624523738,-0.0209289142712277,-0.0176761534377443,-0.0222393908383504,-0.526817827769207,0.000506139371405818,0.0008669943331433,-0.0482036455404556,-0.305434372622689
"NUMEX_BILL_MELTON_CA_2019","148","1","7","1",-0.00849841250081399,0.00253589881107816,-0.468032765963978,0.0103595842621171,0.00999779476718076,0.0136213873351068,0.020015928724246,0.123261985856798,-0.000720255843224277,0.0305210897716901,0.01099436012305,0.297706512652303,0.0209028431033967,-0.0119268579430092,0.201053480988921,0.0647508001454607,0.0140034996980297,0.00148164615723021,0.390380594062168,0.0106897356540193,0.0037271096246916,-0.0271425826367322,0.0279775287589828
