"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","GNDVI_131","GNDVI_145","GNDVI_154","GNDVI_159","GNDVI_162","GNDVI_164","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_201","GNDVI_203","GNDVI_210","GNDVI_215","GNDVI_223","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_259","GNDVI_263"
"NY0465",2,214,2,35,1.57,0.77,0.74,3.08,0.219300969073028,0.25634249117722,0.180713502196667,0.016179500520882,0.0230615681140837,0.0532968051756893,0.233351313977358,0.170430655457238,0.270407304163487,0.236154732247935,0.290729060435815,0.286139539796188,0.214969054852072,0.0727462389917128,0.0143574541133539,0.135354891269785,0.266312319659192,0.175307775501598,0.240923300852263,0.221858581291864,0.214488172158793,0.137531120678096
"SW3407",2,215,2,34,1.71,0.81,0.56,3.08,0.293192798153112,0.266799052472992,0.204693526602122,0.0316405078631784,0.0706718771282164,0.111599372108468,0.323190805617486,0.230099574583909,0.332189183256665,0.228448421553154,0.284942689945101,0.297938447795399,0.20277289848273,0.0846925358170008,0.0490193696926941,0.180566947318954,0.309405197082178,0.186198795931805,0.250151744509842,0.218618754461279,0.216511033619378,0.144932913883837
"PLUSS_III",2,216,2,33,1.77,0.8,0.6,3.17,0.300151728713775,0.27239438164662,0.187223841719178,0.0167658610298354,0.053624337938891,0.102382498859041,0.330524604295941,0.203728877026426,0.32400958359549,0.213350233711234,0.276676181193109,0.286608824153295,0.184176132964652,0.0774296235823403,0.0563386220459134,0.189269903457605,0.300804423155792,0.178464451091797,0.236958142544038,0.211861312430836,0.205261854598295,0.133327318144692
"NY1517",2,217,2,32,2,0.72,0.61,3.33,0.297594438807125,0.261261982857668,0.186927350492397,0.0159161397425525,0.0232630137535674,0.0572926365187779,0.285608840983315,0.17335550805025,0.303872892770921,0.18973951392195,0.267445123674594,0.284071972865478,0.195584148891994,0.10309104862764,0.0469864886323253,0.139518443724368,0.271618985375725,0.171252899396887,0.225543085408064,0.20871758357978,0.219498472239649,0.139428996155344
"NY1614",2,218,2,31,1.61,0.94,0.63,3.17,0.252982063874839,0.251983077973644,0.167384675408296,0.0124955506732292,0.0146510660312575,0.0555989797018216,0.26959158886165,0.156462935101776,0.276349853195557,0.18536483584818,0.279017346099228,0.274174131356074,0.211083068017843,0.0918193944488095,0.0818101545784789,0.1785133130016,0.277488392039318,0.18631093148027,0.251069046362606,0.22718337812201,0.204953756796422,0.135536675037711
"NY2003",2,219,2,30,1.62,0.95,0.68,3.26,0.23504389774349,0.246867524666938,0.173559598210137,0.022027847163691,0.0251390007522575,0.0566700126984828,0.272236131276128,0.176236680224616,0.287351416261653,0.208623235713405,0.299033573151109,0.297239901830831,0.232724174424471,0.103200273611179,0.0904997937532353,0.180765000422658,0.284012204656796,0.207564687138617,0.270634409821587,0.233119118290435,0.196439832890837,0.136010636346333
"ONEIDA_VR",2,220,2,29,1.48,0.92,0.69,3.09,0.180192685438198,0.233231801760535,0.149685678659645,0.0187314767637938,0.019551294397298,0.0596685881402817,0.26583714840812,0.175947307049836,0.28335411427255,0.225927169327114,0.316449634072509,0.312195651109844,0.230771089489683,0.0798104053404944,0.0660563702613637,0.20321117909695,0.292389482284434,0.206064268540936,0.267586846006111,0.230652943582627,0.208648243384351,0.15171770211881
"WL_349HQ",2,221,2,28,1.45,1.12,0.7,3.26,0.191744249905078,0.245704432092384,0.17116160383791,0.042489626419152,0.0688783944234523,0.120739807341735,0.33521012091068,0.233126821812002,0.327427127847014,0.266808374543173,0.355204278051347,0.351412896375015,0.23487672722473,0.0736848799146598,0.0953287893095492,0.231848455517736,0.322534518463665,0.216723211409423,0.278228203655314,0.239389443371906,0.178681040110911,0.133276246508219
"FSG_421LH",2,222,2,27,1.8,1.14,0.64,3.58,0.273365751443211,0.283839877666371,0.18380437287694,0.0320956659054042,0.0364812495524321,0.0830014286948788,0.323603433078265,0.228997791028715,0.315731986257605,0.262242691124017,0.350932751339865,0.349772004331076,0.233673363503249,0.0758099374624681,0.0234415947820148,0.177975479845752,0.289428228076717,0.204981342912723,0.253642674400518,0.229559129865094,0.199160034571929,0.150555478544355
"SEEDWAY_9558_SBR",2,223,2,26,1.59,1.02,0.68,3.29,0.222938228596118,0.245806216060857,0.17342151728192,0.0276188146265865,0.0249082144126791,0.0677023792075822,0.28204976374066,0.191398761632196,0.281759367759742,0.227547060514582,0.317904959697565,0.324588574456942,0.206724342199956,0.0751994884832136,0.0282328641405711,0.179609112982549,0.289461691075088,0.206066954426662,0.243867463047155,0.226191951167164,0.191025285739556,0.146194743764898
