"Germplasm","Rep","Plot","Row","Range","GNDVI_133","GNDVI_159","GNDVI_164","GNDVI_168","GNDVI_171","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_194","GNDVI_196","GNDVI_207","GNDVI_223","GNDVI_231","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_245","GNDVI_252","GNDVI_258","GNDVI_259"
"FSG_415BR",2,2112320,2,35,0.409717745742558,0.203102629017528,0.182824406743269,0.0681733809207963,0.208024474388551,0.238011319218397,0.13643189879686,0.197743870642301,0.246178468960745,0.23620977253209,0.264826072690833,0.193594042448125,0.261910407830232,0.208445673345912,0.2009253430022,0.227012852786692,0.245893898210635,0.258311523354685,0.224285843270107,0.277100498129488,0.225115947486275,0.271423185912603,0.120917965689326
"NY2003",2,2112330,2,36,0.362703325288421,0.186299525979124,0.162248619565659,0.0688226029372827,0.18662192731504,0.18954193641753,0.1054389862945,0.183524002777459,0.246126177363015,0.227872362003233,0.309660211155896,0.195026064838526,0.256874301219393,0.186201296593256,0.181849074076457,0.220751783741371,0.237658875837047,0.257134149174141,0.221545153107391,0.277795828914607,0.224987744316512,0.278064041221936,0.128624600579535
"NY0651",2,2112340,2,37,0.363999618020467,0.189509875183591,0.172785608035913,0.0837656646520743,0.212992204939187,0.240747934272087,0.130815620799033,0.204139969734675,0.234174527628429,0.225770016994413,0.30185459812744,0.198178255763627,0.251489932782191,0.174152469279349,0.196587536102347,0.227935902783981,0.233003395384819,0.260664971894421,0.214328047860789,0.277445040478216,0.22902828969419,0.282658878511426,0.152130654715566
"NY1517",2,2112350,2,38,0.371189294696016,0.200878634412453,0.170608642318418,0.0529283729009238,0.16980783510572,0.173239153673028,0.104134377828232,0.1804736621241,0.240149604093087,0.230067715717384,0.304111947877847,0.202381050702175,0.250417239997898,0.207090047827065,0.183759134823641,0.222355521566045,0.230242063234371,0.252536862835868,0.222300405521424,0.268407979227112,0.227701429395372,0.315097232155535,0.132394231015971
"SW3407",2,2112360,2,39,0.398933576596553,0.207162883687481,0.183660631313671,0.0809862253747558,0.223648917338699,0.275650345647906,0.170154243763365,0.238686763457074,0.269768480118341,0.266311972957744,0.27266002836734,0.23590763141329,0.275541671788053,0.218316920728632,0.230750741904718,0.257443543643385,0.251138540062307,0.279258871509292,0.240824443511284,0.274735058741375,0.210604277206325,0.273134378789893,0.104784311668655
"ALFABAR",2,2112370,2,40,0.384234093590938,0.181061070018006,0.167712001146459,0.0725183715245598,0.203016823348714,0.238117682094494,0.14066038083637,0.210391503476052,0.244641276843391,0.24663731858111,0.124301483687813,0.222376460921899,0.26832606453573,0.206378806455942,0.192302136607031,0.224467191847351,0.230302310129022,0.269569191961032,0.220653099133111,0.275498169687531,0.210926950178229,0.259429216175504,0.104005803160056
"SW5210",2,2112380,2,41,0.384399988103997,0.213099581105469,0.187320840818789,0.0916606487530269,0.227568749175122,0.275828817135584,0.169007168205835,0.235601833078646,0.271475325113632,0.259388200286849,0.0634438071713451,0.2357837250537,0.28623859280378,0.216160485178786,0.223984734906703,0.250610329247185,0.256278419775484,0.285714936064421,0.241086612862651,0.295473223515064,0.230953550091315,0.284746298790326,0.150513019402553
"SEEDWAY_9558_SBR",2,2112390,2,42,0.31545867662063,0.190505693091534,0.205965734564368,0.0863199114159421,0.188459915738109,0.200536303900668,0.112101633747146,0.176515114555724,0.238206661822218,0.236078052749456,0.0545771666342208,0.210704398823438,0.254941159868989,0.20662869000002,0.190473118064599,0.225560194982272,0.241533653056718,0.270838257553174,0.234067565689836,0.263467850305674,0.20335699059683,0.281096276977703,0.119224526662952
"WL_349HQ",2,2112400,2,43,0.370612609991217,0.176897274593135,0.176538688650507,0.122021343219361,0.253547430131838,0.300762198042425,0.179080875529115,0.228689283962624,0.263942566778908,0.261623735663021,0.0338101336915509,0.231345411950625,0.277223392715762,0.207611005877188,0.217995432378428,0.245986887689533,0.24725776885092,0.278689483262308,0.234378033407646,0.273905363510506,0.200408734507169,0.242992434978852,0.0958918731835598
"ALGONQUIN",2,2112410,2,44,0.293244111932212,0.171129338271035,0.192551446327448,0.0986562209853101,0.188168508280762,0.175270744728393,0.08677459542703,0.134157047831756,0.223923200885935,0.227116738548167,0.0416557988190784,0.203839545184275,0.254558625299773,0.216891271295915,0.178548345326197,0.22654399494629,0.236767929730447,0.263133447918321,0.225948544951933,0.265660731137978,0.213587010678561,0.252346930484599,0.0875204449660023
"PLUSS_III",2,2112420,2,45,0.374083601835788,0.163531829871082,0.177306016545805,0.132505951517658,0.23543996786348,0.293993186829048,0.173430546761578,0.20711087207218,0.264567943983436,0.270797732348139,0.0731578178533244,0.234565381878894,0.279040640918482,0.205183803283302,0.225902239612204,0.25202462808569,0.252483985715535,0.280863789531655,0.240662458358495,0.287413230464312,0.226973084087542,0.248667421210602,0.0777958908118918
"SW4602Z",2,2112430,2,46,0.369449381858395,0.171743103470395,0.187837541277815,0.111733990390894,0.185830215867442,0.235462858792344,0.152854851078589,0.179835221199197,0.254401400030227,0.256581630683449,0.0592704708888463,0.212208844326707,0.2662571922566,0.188906877451049,0.210173877096057,0.237282273275877,0.243266519895795,0.275799948891624,0.234329253970835,0.275398521825483,0.228798479865671,0.272687022691465,0.0928844471118789
"NY0465",2,2112440,2,47,0.350194763908877,0.162182213508854,0.200615184175661,0.0899009302082752,0.157158022506835,0.20501618489939,0.116730005176649,0.150977781897168,0.21907595545201,0.227708563824923,0.0583437912056547,0.17875502720986,0.242477796391851,0.188564653764472,0.179027497433641,0.219760052171373,0.232552206076867,0.259954320717567,0.232753525926665,0.256899630786619,0.205991867061974,0.257299116219901,0.0731481891897134
"VERNAL",2,2112450,2,48,0.342199164337253,0.145365719569183,0.199327161846334,0.0767586300113228,0.138414615170683,0.170375229264316,0.0864210294559234,0.133806720564795,0.201687407018673,0.227239905957743,0.0793007751443427,0.172748635519586,0.226231778333607,0.195780586044073,0.167731360772355,0.210229192203843,0.211791780738751,0.241642271839765,0.211778797649049,0.253247782616082,0.220820847128176,0.251285501138654,0.0850884152222233
