"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"FSG_421LH",2,228,2,31,1.6,1.62,1.13,4.34,0.411414415719898,0.308689654662318,0.449249415362475,0.292946891761189,0.290013679890561,0.388736850831783,0.355957687791598,0.332842912908871,0.42931815811431,0.464767071976439,0.318583049161694,0.360168870336032,0.403131546321235,0.173634453781513,0.319587888318538,0.352813870784729,0.205520069980854,0.344680530798178,0.227510514563641,0.33654471714244,0.257518310308748,0.301350692474203,0.257726402778306
"55V50",2,229,2,32,2.06,2.09,1.4,5.55,0.393415930194958,0.319656435257458,0.43109922710891,0.336422081538146,0.311252921527261,0.358029513089295,0.366053281593625,0.346460888769511,0.422514601585315,0.469259943313818,0.32193071070463,0.346174994829033,0.42144205938492,0.189309640522876,0.333290812852383,0.359310493119266,0.235166874888453,0.336049087720053,0.244284380418834,0.30721914075804,0.266023368849097,0.238122996813506,0.251562435500516
"ONEIDA_ULTRA",2,230,2,33,1.74,1.74,1.37,4.85,0.319031282090851,0.305095283611908,0.406682107093602,0.351942026436883,0.305223932474274,0.383082324693109,0.399817226053879,0.314341394834059,0.376866134751773,0.421143302381106,0.287857730652648,0.327850814834474,0.37864606909674,0.195023780345472,0.286321567436119,0.326060027398398,0.226334351695345,0.319675303555588,0.255443480074022,0.274954820637933,0.237521738873421,0.286817836812144,0.262287792945232
"N-R-GEE",2,231,2,34,1.75,1.83,1.31,4.89,0.329813117940013,0.302840855270523,0.427849283444265,0.327753158064422,0.303851374410524,0.317992246737797,0.389047195307489,0.314555271383916,0.392002372757614,0.440136546324691,0.287578699485149,0.339949072750668,0.383051650558356,0.163229750233427,0.307215602881238,0.347088020811712,0.213952609421423,0.323177248827264,0.218367573017908,0.331200867443752,0.2863392978536,0.26402328562722,0.280924749990494
"FSG_415BR",2,232,2,35,1.99,1.97,1.48,5.44,0.396135767548853,0.301144805748386,0.412559663008934,0.332459040417363,0.299920848360486,0.291943255600647,0.37419300788678,0.33942847763154,0.417572095327493,0.45700070768373,0.290808971535474,0.342677705951862,0.4223137459044,0.184999488236756,0.311595834506051,0.333127291848285,0.245190604300081,0.329004259747017,0.243541635109788,0.311112906701142,0.258672909018899,0.294522203307904,0.291638085098293
"NY2003",2,233,2,36,2.08,1.58,1.18,4.84,0.373753556839961,0.281680732144486,0.403977388962023,0.345258800082066,0.310326176884256,0.348223351816199,0.417259225863264,0.332643544069039,0.414150500625782,0.44347266750302,0.322589930215728,0.337949546997636,0.389286370456564,0.148146247313243,0.278804110692656,0.337273029183445,0.193308206737987,0.326848242447891,0.200862119523782,0.337943192165204,0.270382403187383,0.236937141416052,0.279195304437565
"NY0651",2,234,2,37,2.01,1.76,1.43,5.2,0.304253936778695,0.300648058960079,0.400799904059483,0.320067557665817,0.285822140695602,0.304917427295854,0.401230865986097,0.345907483030361,0.391436691697956,0.434559270299443,0.30575861987307,0.333450309522094,0.395831939254059,0.154159026772529,0.300019066123131,0.32048486861223,0.231629974138504,0.327114324166597,0.221729983503487,0.301457961049049,0.270139093321984,0.238294769140239,0.300804720078076
"NY1517",2,235,2,38,2.21,1.48,1.18,4.88,0.299643846557329,0.282341500500068,0.413280416141992,0.36403939154137,0.310459713948871,0.373335426313999,0.415156698717198,0.334788103978273,0.384687891113892,0.416747514171545,0.302648202520633,0.324872830214909,0.360820373538746,0.187709493939261,0.266977157689232,0.305979354338771,0.193511879140376,0.312313058055719,0.225917270811998,0.300397046864287,0.254918867154942,0.328784946236559,0.268385870185178
"SW3407",2,236,2,39,2.23,1.85,1.28,5.36,0.302734432213797,0.298901723454153,0.404836001678959,0.32000307746417,0.304330281266841,0.313272599988946,0.335819445433142,0.417048204483929,0.447292188151857,0.474354004042375,0.270236128871839,0.36527046676598,0.417245069119093,0.191258937579506,0.353876968118454,0.372124897947888,0.234156052734484,0.352671154033753,0.254547489493882,0.299653161512744,0.241526974237255,0.285951915600109,0.242740915370673
"ALFABAR",2,237,2,40,2.2,1.84,1.29,5.33,0.248399813222869,0.279488835499066,0.378167541616189,0.347757554441807,0.29396639985108,0.29003917884097,0.380972754761682,0.372975796102307,0.404239544221944,0.457743847083128,0.269762223497163,0.346791687993277,0.409131911484011,0.165929581377667,0.289893777819474,0.327222660412083,0.210855380611079,0.331391408968231,0.216337834568856,0.329089727914616,0.283171185869585,0.247161591324633,0.28847604985314
