"Germplasm","Rep","Plot","Row","Range","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"SW5606",2,2122010,2,51,0.519925204,0.598824202065045,0.516614824356344,0.501572001281603,0.440986401911591,0.345371561231576,0.540157585470086,0.504651938966372,0.523598458967393,0.42718044035169,0.396629186980939,0.377464074326024,0.316364502757132,0.390171093161494,0.393673566568784,0.393357002299128,0.483899430740038,0.429805601,0.494524537,0.518097788990186,0.401701502314999,0.335628305151139
"WL_349HQ",2,2122020,2,50,0.494574553877027,0.55974856,0.522259116136317,0.492135012097107,0.434399035066625,0.38432260687369,0.517030124,0.493445182716416,0.522365224247166,0.42657037316137,0.387850393291357,0.377529478749971,0.314370314219902,0.385228668373613,0.411150518509051,0.405498605921526,0.46282869020453,0.429723822798478,0.506047485053247,0.518204646564508,0.41034190958406,0.348715343518095
"VERNAL",2,2122030,2,49,0.396283493710096,0.525735294117647,0.501890654071848,0.504887468597899,0.526411870309087,0.454859930575101,0.458423150243003,0.418244752490194,0.453317986,0.413501677999379,0.379373435889453,0.35766112572925,0.316873666891349,0.393843306309464,0.404455475309221,0.391564494650319,0.41423351,0.396133142856316,0.490189535983151,0.503672982918658,0.398660211435383,0.408009634303548
"REGEN",2,2122040,2,48,0.489289532168678,0.554268405475398,0.525643496652513,0.476898206996068,0.493503112749869,0.422268227070908,0.506521676512485,0.497743788962716,0.542897302351631,0.411728529715236,0.377217469448985,0.38646887173787,0.303379315225658,0.407316970349041,0.392906719677118,0.400788815494132,0.441964059330629,0.435920983880376,0.525674391159139,0.50286788688078,0.382999453732041,0.377113236990298
"GUARDSMAN_II",2,2122050,2,47,0.497960681163905,0.557253581,0.516851295262631,0.459750427,0.478716256229872,0.413663195421709,0.518703834688216,0.492250974731286,0.521460921045688,0.426163646,0.413548816344281,0.38049253009627,0.339923386,0.399737095294565,0.403423235961051,0.4025690968555,0.467661949188277,0.429245463758857,0.521405792385291,0.491476684791564,0.37787370014003,0.360722165682882
"SEEDWAY_9558_SBR",2,2122060,2,46,0.477590301124626,0.544565429945563,0.513443537999141,0.443314097970154,0.474292235874299,0.404499607227023,0.501237011898777,0.493929305151629,0.520629374823088,0.416574814056304,0.380626493349655,0.384800624637599,0.316015102928617,0.384180010604129,0.369366623136437,0.391365890618542,0.432699505,0.381681060997515,0.49124664463623,0.47505541824573,0.390558156707561,0.371846640987138
"GUARDSMAN_II",2,2122070,2,45,0.48652992282518,0.565851171,0.515672900726642,0.429651070124599,0.474880305765808,0.364254859340489,0.520582081657449,0.498548104433642,0.512084346829018,0.434006438,0.408633772286733,0.395130380539106,0.32717203656254,0.395176351,0.382662824,0.403862341447834,0.468822895537525,0.426182339769893,0.51803759265585,0.48287879303757,0.402811952072147,0.399607462296794
"WL_349HQ",2,2122080,2,44,0.513014381268556,0.558689287,0.502880269707234,0.416321208109499,0.448192722030737,0.354994026956875,0.528109517361548,0.527333046,0.533380469878189,0.431993775889387,0.413826767447577,0.419691365389969,0.344419193313408,0.394886262754649,0.391372856704997,0.40622994188568,0.470516418933165,0.413738806218583,0.503907020667037,0.465227220299885,0.394942256508478,0.376679829025036
"SEEDWAY_9558_SBR",2,2122090,2,43,0.542726648287244,0.568787854764547,0.518355994465913,0.434002928399257,0.475906523560557,0.39181874472277,0.51521833626613,0.492351573132561,0.500723120175401,0.434148498959484,0.427612079355982,0.415176872499827,0.349508065905567,0.388975596564937,0.382311015,0.391790945104046,0.438192375549358,0.371728202611967,0.471545697428126,0.439508101279728,0.390917579152873,0.381875703914784
"VERNAL",2,2122100,2,42,0.456756664884988,0.541272924264045,0.506606714056263,0.41458808132064,0.478215585760617,0.412560451875418,0.458738818711245,0.470833775588907,0.49791075960602,0.400148670826325,0.361698408871745,0.368855514875962,0.314765540195032,0.391326042688355,0.384000963826391,0.388374973645372,0.399082068311195,0.359667504707648,0.472926405635564,0.441992687485953,0.393497068,0.42264278444942
"SW5606",2,2122110,2,41,0.534203766221916,0.567399318217853,0.506884531590414,0.400728543626007,0.441396964989357,0.369013540718678,0.546605628332704,0.530963551064598,0.564105191256831,0.432272179315016,0.420190216877493,0.408146036251588,0.354315805201702,0.377406727874363,0.37317610609939,0.404050784,0.479232589587559,0.404944007572764,0.487449321414215,0.457737067429712,0.380039087581491,0.392190050270941
"REGEN",2,2122120,2,40,0.499550477771214,0.565222504,0.504132118378576,0.420494731,0.470743899848283,0.409853832442068,0.503707239,0.503287551036293,0.551468909070846,0.422331992651791,0.401150572101811,0.401054913264548,0.348981421868372,0.385495853,0.376135453568156,0.387131278545378,0.440621830628803,0.415160236482083,0.477935027198341,0.469900148294612,0.391500716,0.389601559269657
"BORDER",1,2122121,2,39,0.494931462622037,0.557393637,0.514703178919581,0.442766300306463,0.471095003441647,0.41304858,0.511600598161684,0.478947101515934,0.533141908586288,0.537770742855357,0.466427595628415,0.470143403110829,0.370939304500205,0.404109001,0.418650178089143,0.423801743,0.489523640101202,0.425864202623546,0.479393688333208,0.466475565723106,0.356932838203138,0.372515367392632
"BORDER",1,2122122,2,38,0.546186753,0.559173009,0.490584418682315,0.421641878068856,0.459988854408807,0.401595754015709,0.547613443128858,0.522036829,0.583948147401853,0.558022187012261,0.489905364267211,0.501431077395194,0.384141896898807,0.38962166768912,0.417370023632605,0.417900951730951,0.502704794202164,0.421833355767936,0.499777184,0.482031826429202,0.362221586905816,0.397300088201371
"BORDER",1,2122123,2,37,0.550008908393582,0.56982849743671,0.517243293099884,0.432340997,0.464957676017003,0.413577759014292,0.537237226621418,0.496241063489031,0.557677379735843,0.548075422,0.452516964923826,0.473842358551192,0.356640309658781,0.382545613655631,0.406960633715852,0.415148372645962,0.486091608686485,0.415413151309095,0.485483794029776,0.476924150052178,0.379141000144248,0.413760499355452
"EZRA",2,2122130,2,36,0.48313400291509,0.556006817821468,0.522214111922141,0.427130126835653,0.46963670123999,0.434340706494828,0.512290514496397,0.475512014020091,0.555269817738693,0.531266243970388,0.481748586609186,0.493356317652501,0.362374081544882,0.396707454604898,0.396362219608805,0.423041762077755,0.49054074754902,0.410436577376946,0.496799979915141,0.479777116325982,0.384825936323591,0.398375851450458
"NY0465",2,2122140,2,35,0.454658855412084,0.55590521114106,0.517695402573032,0.433640907343329,0.468855452115308,0.440469224,0.496708066239316,0.463900387533818,0.525595144,0.509033131310261,0.481829064798533,0.472812669425622,0.341553257,0.39891059251138,0.39098896001155,0.414126780038063,0.488390259329538,0.428896492530725,0.493246243952126,0.466504848514748,0.383095792695215,0.405298170877674
"SW3407",2,2122150,2,34,0.5175895056746,0.562763797800424,0.522661927707011,0.39935065929522,0.438071990849419,0.400929418019201,0.559516140858053,0.515393442352281,0.576329969911284,0.489629999537282,0.464649509509085,0.474167969739406,0.325111560476408,0.371825509563811,0.359209289014269,0.406685825514177,0.51956132721906,0.43170458114596,0.515463709171249,0.472547262042072,0.371535221264561,0.40135830110591
"PLUSS_III",2,2122160,2,33,0.529819081910297,0.579664129802865,0.527985624095543,0.424405702000183,0.451538435113193,0.419083591331269,0.578317072021116,0.503285192339898,0.576382491456235,0.471767626416775,0.470592016941782,0.471895913270828,0.312255287442594,0.371277381245385,0.386282686753102,0.421343413271164,0.517925303203178,0.426133996818629,0.497604001908062,0.47214950293843,0.385451775058415,0.394271931610014
