"Germplasm","Rep","Plot","Row","Range","NDVI_133","NDVI_159","NDVI_164","NDVI_168","NDVI_171","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_194","NDVI_196","NDVI_207","NDVI_223","NDVI_231","NDVI_236","NDVI_238","NDVI_243","NDVI_245","NDVI_252","NDVI_258","NDVI_259"
"55V50",1,2111380,1,41,0.578887799772913,0.466171150058618,0.437069466930503,0.291232304581025,0.396516570524778,0.454029988103867,0.45280518407681,0.569961815544975,0.526978645181477,0.593539895223492,0.499896793054571,0.564834631886915,0.568904191036123,0.383327923264757,0.556565358732541,0.559391700222785,0.465408937089024,0.491293597372614,0.346166187755705,0.508175553099652,0.427060596924932,0.344461311406283,0.306621576565849
"SW5210",1,2111390,1,42,0.591247388312409,0.495664109979463,0.466908362124407,0.281407866584601,0.399083079961943,0.486296824671317,0.476654354090702,0.573904557256693,0.528617412390488,0.592678833108161,0.511740197957873,0.561004476856919,0.569039027288669,0.378399350791771,0.554224241530743,0.544373088685015,0.464507429752528,0.47502700204661,0.329540780530668,0.523452163914269,0.460863606086256,0.382043376836265,0.345862200083653
"NY1614",1,2111400,1,43,0.562782027833798,0.503172880922242,0.464946333273371,0.274368826753422,0.391390996144758,0.44323470488519,0.419155334421645,0.538852694395836,0.520598273884022,0.583022749976768,0.493884213323884,0.551732668575003,0.558042489201237,0.424722222222222,0.532386987824918,0.541166922661796,0.481981291534997,0.478144062863985,0.36469254368414,0.495710936710801,0.422618714051795,0.372884433516172,0.304743146127229
"WL_358LH",1,2111410,1,44,0.581481523210063,0.46941664632658,0.455496941896024,0.258843313109997,0.403456192603624,0.485747007854191,0.448674169981324,0.561210642552303,0.524905350438048,0.58480538697433,0.500238764319469,0.542429254293195,0.551834343836441,0.374005310457516,0.542006233647101,0.542018625375344,0.451682956959332,0.469278264774646,0.33449507863409,0.503368816509234,0.424404050435369,0.34780341718681,0.287388747354145
"SW3407",1,2111420,1,45,0.57982498259734,0.491612564758345,0.457517051292605,0.26636698027492,0.405489444720806,0.512682614542842,0.472329265173866,0.57396215716119,0.53250664893617,0.58793820991758,0.522132205291755,0.553655696890422,0.568759603366805,0.409966444911298,0.547709588886059,0.550763120615219,0.473119760454277,0.497864793678665,0.350374517473221,0.503271507114012,0.42411155840087,0.356048568554868,0.311364293085655
"ALFABAR",1,2111430,1,46,0.583514281036342,0.47636860629188,0.45437729019907,0.295184940941997,0.392360723297758,0.469549965304004,0.427572685141889,0.564296525627795,0.527255293074677,0.583734957253043,0.533903631232418,0.536741023036808,0.566737507576397,0.391485615079365,0.537606196120128,0.546181659678691,0.465487402938383,0.509650960881865,0.368826702396581,0.513226836720288,0.449076001820686,0.395241367715361,0.330346907993967
"SW4107",1,2111440,1,47,0.581977872250733,0.473244280737569,0.458768063800444,0.285527418740291,0.406502870704307,0.519242802685787,0.466270427176295,0.571974811233474,0.528315602836879,0.588678061089547,0.558581089062131,0.542577241081728,0.572546373220068,0.407040546270708,0.549644014969092,0.550383854318015,0.458858384688875,0.517357402689161,0.392666946370541,0.490540310416971,0.416477800043744,0.365700145009772,0.311059102373981
"NY0651",1,2111450,1,48,0.559066361291933,0.478489683093264,0.464388529111951,0.259919253202028,0.393209233060313,0.484931770369242,0.44641599037703,0.568253838181043,0.526057441593659,0.580035690223957,0.552718049109069,0.528366602844812,0.563604918802503,0.374279071807694,0.538681224749336,0.545123777104349,0.418686627961911,0.527224690240542,0.376514146148101,0.50789196571929,0.444223147202806,0.383321564424269,0.319330266043069
"SW4412Y",1,2111460,1,49,0.571941406693528,0.493200793712303,0.467077361188605,0.276303086256924,0.400097417402479,0.498544608958881,0.456814892152908,0.566908511688428,0.523011446599917,0.583720843787752,0.567530858729034,0.546976360637713,0.579612717028508,0.41399701715138,0.546132452054753,0.545133325030789,0.431489040810728,0.525386661463922,0.395236255421709,0.496037596179911,0.430313477214823,0.356545013704406,0.310267285861713
"SW4602Z",1,2111470,1,50,0.533744096224407,0.48097513928716,0.459339226155756,0.235711040769073,0.393240671796145,0.470354775612466,0.41587720938932,0.541254513982153,0.507845614309554,0.573083356565375,0.554866927984291,0.542271394539124,0.573069349851834,0.373084177742685,0.526333063794364,0.535480233024755,0.41455756661639,0.530259942119468,0.393783276022273,0.481427910565576,0.407224695123753,0.359244267910808,0.290689760066923
"REGEN",1,2111480,1,51,0.583736368837262,0.507464364753367,0.464718474545782,0.256846478501715,0.387236416190949,0.473064853877661,0.42348709552397,0.550482436505805,0.513594336670839,0.570020658646251,0.552691353649894,0.546859887626839,0.574682048769534,0.36739848810516,0.538802740660326,0.545702187720536,0.430419418168838,0.543085747731929,0.417978566191071,0.51028786204308,0.456057032399936,0.372742996448311,0.303346768571682
